Market,Cost,Impressions,CPM,Clicks,CTR,CPC,Leads Number, Budget Deviation
M1,2244.72,9717,231.0095708552022,659,0.06781928578779459,3.406251896813353,0,2.2009030529094615
M2,1295.3,5314,243.75235227700412,723,0.13605570191945804,1.7915629322268325,3,-0.3494224008036164
M3,610.58,3822,159.7540554683412,163,0.042647828362114074,3.7458895705521473,1,-0.06208909370199687
M4,3453.111573,20459,168.78203103768513,1121,0.05479251185297424,3.0803849892952724,59,-0.05420115776499656
M5,2244.878246,9753,230.17310017430538,440,0.045114323797805805,5.101996013636364,2,-0.3541777197928649
M6,26774.223497,60369,443.50947501200943,2769,0.04586791233911445,9.669275369086312,51,-0.009096095595855225
M7,3613.91,10667,338.79347520389985,613,0.05746695415768257,5.895448613376835,16,-0.014746455834242621
M8,15885.189474,39876,398.36466731868796,2424,0.06078844417694854,6.553295987623763,56,0.00973744431731437
M9,3684.89,10973,335.8142713934202,515,0.046933381937482914,7.155126213592233,9,-0.03309105221726619
M10,840.99,10486,80.20122067518597,860,0.08201411405683769,0.9778953488372093,23,-0.23407103825136674
M11,10160.885271,25964,391.3451421583731,1648,0.06347250038514866,6.165585722694174,36,0.09817727868143779
M12,4750.154445,32110,147.93380395515416,3179,0.0990034257240735,1.4942291428122052,12,-0.13774651570157923
M13,4606.404673,13226,348.2840369726297,451,0.034099500982912444,10.213757589800444,9,-0.34901008013001644
M16,1269.28,6513,194.88407799785045,460,0.07062797481959159,2.759304347826087,0,-0.38918190567853694
M17,2980.769424,28555,104.38695233759412,1830,0.06408684993871476,1.6288357508196722,9,-0.003087149163879878
M18,8940.431379,31950,279.82570826291084,1312,0.0410641627543036,6.814353185213414,41,-0.020548709574933526
M19,7995.8,29620,269.94598244429443,1490,0.050303848750844024,5.366308724832215,1,0.21148484848484816
